"# of Use","# in uz"
"%s Item(s)","%s Articol(e)"
"(Copy data from: %s)","(Copie datele de la: %s)"
"(Will make search for the query above return results for this search.)","(Face ca o cautare pentru interogarea de deasupra sa dea aceleasi rezultate ca si aceasta cautare.)"
"-- Please Select --","-- Alege --"
"This tab contains invalid data. Please solve the problem before saving.","Aceasta fereastra contine date invalide. Rezolvati problema inainte de a salva."
"This group contains system attributes. Please move system attributes to another group and try again.","Acest grup contine atribute de sistem. Mutati atributele in alt grup si incercati din nou."
"Scope","Acoperire"
"Catalog Price Scope","Acoperire pret catalog"
"Action","Actiune"
"Enabled","Activat"
"Update attributes","Actualizeaza atribute"
"Currently Shopping by","Acum cumperi in functie de"
"Add Items to Cart","Adauga articole in cos"
"Add New Attribute","Adauga atribut"
"Add Attribute","Adauga atribut"
"Add Recipient","Adauga destinatar"
"Add New Group","Adauga grup"
"Add Group","Adauga grup"
"Add New Images","Adauga imagini"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga la comparatie"
"Add to Wishlist","Adauga la favorite"
"Add to My Wishlist","Adauga la lista mea de favorite"
"Add New","Adauga nou"
"Add Option","Adauga optiune"
"Add Product","Adauga produs"
"Add Product To Websites","Adauga produs in Websites"
"Add Design Change","Adauga schimbare de design"
"Add New Set","Adauga set"
"Add New Attribute Set","Adauga set de atribute"
"Add New Search Term","Adauga termen de cautare"
"Add Tier","Adauga Tier"
"Please add one or more options","Adauga una sau mai multe optiuni"
"Email Address","Adresa de email"
"Email Address:","Adresa de email:"
"Select Configurable Attributes ","Alege atribute configurabile "
"Please select static block ...","Alege bloc static ..."
"Choose an Option...","Alege o optiune..."
"Choose option...","Alege optiunea..."
"Please select product(s)","Alege produs(e)"
"Please select products for attributes update","Alege produse pentru actualizare atribute"
"Selected Product Types","Alege tipul de produs"
"Please select one or more attributes.","Alege unul sau mai multe atribute."
"Product Alerts","Alerte produs"
"Previous","Anteriorul"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Notify Low Stock RSS","Anunta stoc limitat RSS"
"Please click on Close Window button if it won't be closed automatically","Apasa pe Inchide fereastra daca nu se inchide automat."
"Apply To","Aplica la"
"Apply To Configurable/Grouped Product","Aplica la produse configurabile/grupate"
"Approved","Aprobat"
"Zoom In","Apropie"
"Show","Arata"
"Display in Suggested Terms","Arata in termenii sugerati"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Items %s to %s of %s total","Articole %s pina la %s din %s in total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Articolele care nu vreti sa apara in catalog trebuie sa aiba valoarea 'Dezactivat' in magazinul dorit."
"Unknown attribute: %s","Atribut necunoscut: %s"
"New Product Attribute","Atribut nou de produs"
"Product attribute was successfully saved","Atribut produs salvat"
"Product attribute was successfully deleted","Atribut produs sters"
"Attributes","Atribute"
"Unassigned Attributes","Atribute nealocate"
"This attribute no longer exists","Atributul nu mai exista"
"Product Attribute","Atributul produsului"
"Autogenerate","Autogenereaza"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Based On","Bazat pe"
"Check items to add to the cart or ","Bifeaza pentru a adauga in cos sau "
"Static block and products","Bloc static si produse"
"Text Field","Camp pt text"
"Qty","Cantitate"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima in cos"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima admisa in cos"
"Minimum Qty for Item's Status to be Out of Stock","Cantitate minima pentru status: stoc epuizat"
"Default Qty","Cantitate standard"
"Qty Uses Decimals","Cantitatea e cu virgula"
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Catalog"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Searches","Catalog Searches"
"Catalog, Search","Catalog, Cautare"
"Category","Categorie"
"New Category","Categorie noua"
"Parent Category","Categorie parinte"
"Category saved","Categorie salvata"
"Category deleted","Categorie stearsa"
"Categories","Categorii"
"Product Categories","Categorii de produse"
"Search","Cauta"
"Browse By","Cauta dupa"
"Searchable","Cautabil"
"New Search","Cautare noua"
"Search was successfully deleted","Cautarea a fost stearsa"
"This search no longer exists","Cautarea nu mai exista"
"Best Selling Products","Cele mai vandute"
"Default Tax Class","Clasa standard de taxare"
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"Attribute Code","Cod atribut"
"SKU","Cod produs"
"Conditions Combination","Combinatie conditii"
"Compare Items","Compara articolele"
"Compare Products List","Compara lista de produse"
"Compare Products","Compara produsele"
"Compare Products - %d Items","Compara produsele - %d articole"
"Comparable","Comparabil"
"Comparable on Front-end","Comparabil la client"
"Super product attributes configuration","Configurare atribute pt superprodus"
"Continue","Continua"
"Options Control","Control optiuni"
"Copy From Configurable","Copie de la produs configurabil"
"Quick Create","Creare rapida"
"Quick simple product creation","Creare rapida a unui produs simplu"
"Create Simple Associated Product","Creaza produs asociat simplu"
"Create Empty","Creaza produs gol"
"Buy %s for %s","Cumpara %s la %s"
"Buy %s for %s each","Cumpara %s la %s fiecare"
"Shop by","Cumpara dupa"
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Yes","Da"
"Yes/No","Da/Nu"
"If you do not specify an option value for a store then the default value will be used.","Daca nu specifici o valoare pt magazin, va fi utilizata valoarea standard."
"Date","Data"
"Date Subscribed","Data inscrierii"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Category Data","Date categorie"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Zoom Out","Departeaza"
"unselect all","deselecteaza toate"
"Design","Design"
"Custom Design","Design personalizat"
"Recipient:","Destinatar:"
"Disabled","Dezactivat"
"Discount","Discount"
"Stock Availability","Disponibilitate stoc"
"Availability: In stock.","Disponibilitate: In stoc."
"Availability: In stock. Ships within 24 hours.","Disponibilitate: In stoc. Se livreaza in 24 de ore."
"Availability: Out of stock.","Disponibilitate: Stoc epuizat."
"Static block only","Doar bloc static"
"Products only","Doar produse"
"Double click on a group to rename it","Double click pentru a redenumi un grup"
"Bottom/Right","Dreapta/Jos"
"Top/Right","Dreapta/Sus"
"Dropdown","Dropdown"
"Duplicate","Duplicat"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"A name is required","E necesar un nume"
"Globally Editable","Editabil global"
"Email","Email"
"Email:","Email:"
"Entity collection is expected","Entity collection is expected"
"There was an error while updating product(s) attributes","Eroare la actualizarea atributelor produselor"
"There was an error while adding products to websites","Eroare la adaugarea produselor la site-uri"
"Category move error","Eroare la mutarea categoriei"
"Error while saving this group. Please try again later.","Eroare la salvarea grupului. Incearca mai tarziu."
"Error while saving this group. Group with the same name already exists.","Eroare la salvarea grupului. Mai exista ungrup cu acelasi nume."
"Product saving error.","Eroare la salvarea produsului."
"Category delete error","Eroare la stergerea categoriei"
"There was an error while removing products from websites","Eroare la stergerea produselor din site-uri"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error while adding customers for %s alert. Message: %s","Error while adding customers for %s alert. Message: %s"
"Is Default","Este standard"
"Are you sure you would like to remove this item from the compare products?","Esti sigur ca vrei sa stergi acest produs din lista de comparatie?"
"Are you sure you want to delete this category?","Esti sigur ca vrei sa stergi categoria?"
"Are you sure you want to delete this attribute set?","Esti sigur ca vrei sa stergi setul de atribute?"
"Are you sure you would like to remove all item from compare products?","Esti sigur ca vrei sa stergi toate produsele din lista de comparatie?"
"Are you sure?","Esti sigur?"
"Failed","Esuat"
"Label","Eticheta"
"Attribute Label","Eticheta atribut"
"Product Tags","Etichete produs"
"Best Value","Evaluari"
"ex. http://domain.com","ex. http://domeniu.com"
"Exclude","Exclude"
"There is %d product(s) that will be not updated for selected store","Exista %d produs(e) care nu vor fi actualizate pt acest magazin"
"Attribute with the same code already exists","Exista deja un atribut cu acest cod"
"Sender:","Expeditor:"
"Failed to move file: %s","Failed to move file: %s"
"No image","Fara imagine"
"Feature Products","Feature Products"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filterable (with results)","Filtrabil (cu rezultate)"
"Filterable (no results)","Filtrabil (fara rezultate)"
"Filters must be as array","Filtrele trebuie sa fie tip lista"
"Fixed","Fixa"
"Use categories path for product URLs","Foloseste calea categoriilor pt URL produse"
"Use in advanced search","Foloseste in cautare avansata"
"Use in quick search","Foloseste in cautare rapida"
"Use To Create Configurable Product","Foloseste la crearea de produs configurabil"
"Use In Layered Navigation","Foloseste la filtre"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Foloseste la filtre<br/>(se poate folosi doar cu tipul 'Dropdown')"
"Use Config Settings","Foloseste setarile din Config"
"Use Default Value","Foloseste valoare standard"
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Frontend Properties"
"Gallery","Galerie"
"Manage Product Attributes","Gestioneaza atribute produs"
"Manage Attributes","Gestioneaza atributele"
"Manage Categories","Gestioneaza categoriile"
"Manage Catalog Categories","Gestioneaza categoriile catalogului"
"Manage Label / Options","Gestioneaza etichete / optiuni"
"Manage Ratings","Gestioneaza evaluari"
"Manage Options (values of your attribute)","Gestioneaza optiuni (valori ale atributelor)"
"Manage Products","Gestioneaza produse"
"Manage Product Sets","Gestioneaza seturi produs"
"Manage Attribute Sets","Gestioneaza seturile de atribute"
"Manage Titles (Size, Color, etc.)","Gestioneaza titluri (Size, Color, etc.)"
"Global","Global"
"Empty","Gol"
"Customer Group","Grup clienti"
"Groups","Grupuri"
"Site Map","Harta site"
"Categories Sitemap","Harta site categorii"
"Products Sitemap","Harta site produse"
"Home","Home"
"ID","ID"
"Attribute Identifier","ID atribut"
"Image","Imagine"
"Image not exists","Imaginea nu exista"
"Pending","In curs de desfasurare"
"In stock","In stoc"
"In Stock","In Stoc"
"Prev","Inapoi"
"Back","Inapoi"
"Starting at:","Incepand de la:"
"Close Window","Inchide fereastra"
"Attribute Information","Informatii atribut"
"Search Information","Informatii cautare"
"General Information","Informatii generale"
"Product Information","Informatii produs"
"Product Description","Informatii produs"
"Products Information","Informatii produse"
"The information in this tab has been changed.","Informatiile din aceasta fereastra s-au schimbat."
"Records for ""","Inregistrari pentru """
"Subscribe to Feed","Inscrie-te la feed"
"Subscribe to RSS Feed","Inscrie-te la feed-uri RSS"
"Search Query","Interogare cautare"
"Integer","Intreg"
"Please enter a new group name","Introdu un nou nume de grup"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid block: %s","Invalid block: %s"
"Invalid category IDs","Invalid category IDs"
"Invalid image file type","Invalid image file type"
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid product type specified, skipping the record","Invalid product type specified, skipping the record"
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Kamper state-of-art Extra Comfort runners","Kamper state-of-art Extra Comfort runners"
"Backorders","La comanda"
"You may also be interested in the following product(s)","Le Createur iti mai recomanda:"
"Line %d, SKU: %s","Linie %d, COD: %s"
"Line %d, Email: %s","Linie %d, Email: %s"
"Product collection expected","Lipseste colectia de produse"
"List","Lista"
"Compare list successfully cleared","Lista de comparatie a fost stearsa cu succes"
"Print This Page","Listeaza pagina"
"Letters","Litere"
"Letters(a-zA-Z) or Numbers(0-9)","Litere(a-zA-Z) sau numere(0-9)"
"Store","Magazin"
"Additional Information","Mai multe informatii"
"More Views","Mai multe poze"
"Maximum %d email addresses allowed.","Maxim %d adrese email permise."
"Media Image","Media Image"
"Go to Home Page","Mergi la pagina principala"
"Message:","Mesaj:"
"Missing SKU, skipping the record","Missing SKU, skipping the record"
"Attribute Model","Model atribut"
"Source Model","Model sursa"
"Edit","Modifica"
"Edit Product Attribute","Modifica atribut produs"
"Edit Product Attribute ""%s""","Modifica atribut produs ""%s"""
"Edit Search","Modifica cautare"
"Edit Search '%s'","Modifica cautarea '%s'"
"Edit Attribute Set '%s'","Modifica set de atribute '%s'"
"List Mode","Modul lista"
"Category Navigation:","Navigare categorie:"
"Required","Necesar"
"Options is required","Necesita alegere optiune"
"Nowhere","Nicaieri"
"No layout updates","Nicio actualizare de layout"
"No product collections found","Nicio colectie de produse"
"None","Nimic"
"Products per Page on List default value","Nr. produse pe pagina ca lista"
"Products per Page on Grid default value","Nr. produse pe pagina ca tabel"
"No","Nu"
"You have no items to compare.","Nu ai produse la comparatie."
"Not shared with other products","Nu e comun cu alte produse"
"Attribute model not defined","Nu este definit un model de atribut"
"There are no %s available.","Nu exista %s."
"There are no customers for this alert","Nu exista clienti pt aceasta alerta"
"There are no products matching the selection.","Nu exista produse conform criteriilor selectate."
"Unable to get product id.","Nu s-a gasit ID-ul produsului."
"Image file not found","Nu s-a gasit imaginea"
"Unable to find an attribute to delete","Nu s-a gasit niciun atribut de sters"
"Unable to find a search term to delete","Nu s-a gasit niciun termen de sters"
"Unable to complete request. Please try again later.","Nu s-a putut finaliza. Incearca mai tarziu."
"You cannot update this attribute","Nu se poate actualiza acest atribut"
"You cannot edit this attribute","Nu se poate modifica acest atribut"
"You cannot delete this attribute","Nu se poate sterge acest atribut"
"You cannot remove system attribute from this set.","Nu se poate sterge atributul sistem din acest set."
"No options of this product are available.","Nu sunt disponibile optiuni pentru acest produs."
"Number of results<br/>(For last time placed)","Numar de rezultate<br/>(pentru ultima data)"
"Number of Uses","Numar de utilizari"
"Integer Number","Numar intreg"
"Decimal Number","Numar zecimal"
"Name","Nume"
"Last Name","Nume"
"Attribute Name:","Nume atribut:"
"New Set Name","Nume de set nou"
"Tag Name","Nume eticheta"
"Name In %s","Nume In %s"
"Product Name","Nume produs"
"Attrib. Set Name","Nume set atribute"
"Name:","Nume:"
"Name<br/>(For internal use)","Nume<br/>(pentru uz intern)"
"Search Engine Optimizations","Optimizari pt motoare de cautare"
"Option","Optiune"
"Option:","Optiune:"
"Options","Optiuni"
"Shopping Options","Optiuni de cumparare"
"Product Options","Optiuni produs"
"OR","OR"
"Sort Order","Ordinea sortarii"
"Bundle","Pachete"
"Page:","Pagina:"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 High Definition Camcorder"
"Review was saved successfully","Parere salvata"
"Review was successfully saved","Parere salvata"
"Review successfully deleted","Parere stearsa"
"Reviews","Pareri"
"Customer Reviews","Pareri client"
"Customers Reviews","Pareri clienti"
"Pending Reviews","Pareri in asteptare"
"Pending Reviews RSS","Pareri in asteptare RSS"
"Product Reviews","Pareri produs"
"Products Reviews","Pareri produse"
"Reviews and Ratings","Pareri si evaluari"
"per page","pe pagina"
"As low as:","Pina la:"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Poate fi folosit doar pt tipul Dropdown, Multiple Select si Pret"
"Can be used only with catalog input type Dropdown","Poate fi folosit dor pt tipul Dropdown"
"Position of attribute in layered navigation block","Pozitia atributului in filtre"
"Position","Pozitie"
"Position In Layered Navigation","Pozitie in filtre"
"First Name","Prenume"
"Price","Pret"
"Regular Price:","Pret normal:"
"Special Price","Pret special"
"Special Price:","Pret special:"
"Default price","Pret standard"
"Old Price:","Pret vechi:"
"Price:","Pret:"
"Tier Pricing","Preturi en-gros"
"Quick Overview","Prezentare"
"Prices","Prices"
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea colectiei de date. Eroare: %s"
"Percentage","Procentaj"
"Product Attribute Sets","Product Attribute Sets"
"Product Attributes","Product Attributes"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Product Image Watermarks"
"Product %s successfully added to compare list","Produs %s adaugat cu succes la lista de comparatie"
"Product %s successfully removed from compare list","Produs %s sters cu succes din lista de comparatie"
"Configurable Product","Produs configurabil"
"Product was successfully created.","Produs creat."
"Customers Tagged Product","Produs cu tag adaugat de client"
"Product duplicated","Produs duplicat"
"Grouped Product","Produs grupat"
"Product In Websites","Produs In Site-uri"
"New Product","Produs nou"
"Product was successfully saved.","Produs salvat."
"Simple Product","Produs simplu"
"Product deleted","Produs sters"
"Products","Produse"
"Associated Products","Produse asociate"
"Related Products","Produse corelate"
"New Products","Produse noi"
"Cross-sell Products","Produse pt vanzari incrucisate"
"Category Products","Produsele categoriei"
"Properties","Proprietati"
"Attribute Properties","Proprietati atribut"
"System Properties","Proprietati sistem"
"Root","Radacina"
"Redirect","Redirectionare"
"Reset","Reseteaza"
"Results","Rezultate"
"Saved ","Salvat"
"Save","Salveaza"
"save %s%%","salveaza %s%%"
"Save Attribute","Salveaza atribut"
"Save Category","Salveaza categorie"
"Save Search","Salveaza cautare"
"Save Attribute Set","Salveaza set atribute"
"Save And Continue Edit","Salveaza si continua"
"Sandra Mashiso Red Business shoes","Sandra Mashiso Red Business shoes"
"Change","Schimba"
"Change status","Schimba status"
"select all","selecteaza toate"
"Multiple Select","Selectie multipla"
"Page Title Separator","Separatorul titlului paginii"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Serviciul clienti este disponibil de Luni pina Vineri, 9.00-18.00. Ne gasesti la 0334.106.074."
"Attribute Set","Set de atribute"
"Settings","Setari"
"Create Product Settings","Setari creare produs"
"Configurable Product Settings","Setari produse configurabile"
"Set Root Category For Store","Seteaza categoria radacina pt magazin"
"Set root category for this store in the <a href=""%s"">configuration</a>","Seteaza categoria radacina pt magazin in <a href=""%s"">configurare</a>"
"Set Ascending Direction","Seteaza crescator"
"Set Descending Direction","Seteaza descrescator"
"Set Name","Seteaza numele"
"and","si"
"and above","si peste"
"Synonym for","Sinonim cu"
"Synonym For","Sinonim cu"
"System","Sistem"
"Website","Site"
"Websites","Site-uri"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Skip import row, required field ""%s"" for new customer not defined"
"Skip import row, required field ""%s"" for new products not defined","Skip import row, required field ""%s"" for new products not defined"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Sort by","Sorteaza dupa"
"Product Attribute Specs","Specificatii atribut produs"
"Bottom/Left","Stanga/Jos"
"Top/Left","Stanga/Sus"
"Static","Static"
"Status","Status"
"Remove","Sterge"
"Delete","Sterge"
"Remove This Item","Sterge acest articol"
"Delete Attribute","Sterge atribut"
"Delete Category","Sterge categorie"
"Delete Search","Sterge cautare"
"Remove Email","Sterge Email"
"Clear All Items","Sterge filtrele"
"Delete Selected Group","Sterge grupul selectat"
"Delete Option","Sterge optiune"
"Remove Product","Sterge Produs"
"Remove Product From Websites","Sterge produs din Site-uri"
"Delete Attribute Set","Sterge set de atribute"
"Out of stock","Stoc epuizat"
"Out of Stock","Stoc epuizat"
"Out of stock.","Stoc epuizat."
"This bundle is out of stock.","Stocul acestui pachet s-a epuizat."
"Inventory","Stocuri"
"Stretch","Stretch"
"Product URL Suffix (cache refresh needed)","Sufix URL pt produs (refresh cache necesar)"
"Text Area","Suprafata pt text"
"Grid","Tabel"
"Search Term with such search query already exist.","Termen de cautare cu aceste cuvinte deja exista."
"Search Term was successfully saved","Termen de cautare salvat"
"Text","Text"
"Tile","Tile"
"Type","Tip"
"Datetime","Tip data"
"Product Type","Tip produs"
"Image type and information need to be specified for each store view.","Tipul imaginii si informatiile trebuie specificate pentru fiecare vitrina a magazinului."
"All","Toate"
"ALL GROUPS","Toate grupurile"
"All Reviews","Toate parerile"
"All Product Types","Toate tipurile de produs"
"Base directory to upload image file is not specified","Trebuie specificat folderul unde se uploadeaza fisierul imagine"
"Roll Over for preview","Treci cu mouse-ul pt vizualizare"
"Send email","Trimite email"
"Send Count","Trimite numaratoare"
"Email to a Friend","Trimite unui prieten"
"Last Notification","Ultima instiintare"
"Total of %d record(s) were successfully updated","Un numar de %d inregistrare(i) au fost actualizate"
"Total of %d record(s) were successfully deleted","Un numar de %d inregistrare(i) au fost sterse"
"Product with this combination of attributes already associated to configurable.","Un produs cu aceasta combinatie de atribute este deja asociat la un configurabil."
"unselect all","unselect all"
"Up-sells","Up-sells"
"Url","Url"
"Redirect URL","URL redirectionare"
"Url Rewrite Management","Url Rewrite Management"
"Next","Urmatorul"
"Input Validation for Store Owner","Validare input pt proprietarul magazinului"
"Default value","Valoare standard"
"Unique Value","Valoare unica"
"Unique Value (not shared with other products)","Valoare unica (nepartajata cu alte produse)"
"Values Required","Valori obligatorii"
"Default Values","Valori standard"
"Price values for options should be specified in system base currency.","Valorile pretului trebuie specificate in valuta de baza."
"Cross-sells","Vanzari incrucisate"
"Varchar","Varchar"
"View as","Vezi ca"
"View Details","Vezi detalii"
"Learn More","Vezi mai mult"
"See all %s","Vezi toate %s"
"Store View","Vitrina magazin"
"Visible","Vizibil"
"Visible on Catalog Pages on Front-end","Vizibil in paginile catalogului la client"
"Visibility","Vizibilitate"
"Watermark","Watermark"
"Watermark Default Size","Watermark Default Size"
"Watermark Position","Watermark Position"
"Decimal","Zecimal"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19-inch LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24-inch LCD monitor"
"[GLOBAL]","[GLOBAL]"
