"* Required Fields","* campuri obligatorii"
"General Subscription","Abonare la newsletter-ul standard"
"Sign Up for Newsletter","Abonare newsletter"
"Newsletter Subscription","Abonare newsletter"
"Subscribed to Newsletter?","Abonat la Newsletter?"
"Subscribe","Aboneaza-te"
"Subscribe to newsletter","Aboneaza-te la newsletter"
"Sign up for our newsletter","Aboneaza-te la newsletter"
"The address does not belong to this customer","Aceasta adresa nu apartine clientului."
"This is My Primary %s Address","Aceasta este adresa mea principala %s"
"Action","Actiune"
"Update","Actualizeaza"
"Add New Address","Adauga adresa"
"Add New Customer","Adauga client"
"Add New Customer Group","Adauga grup de clienti"
"Added From","Adaugat din"
"Date Added","Adaugat la data"
"Admin","Admin"
"Street Address","Adresa"
"Address","Adresa"
"Street Address 2","Adresa 2"
"The address was successfully saved","Adresa a fost salvata."
"The address was successfully deleted","Adresa a fost stearsa."
"Email Address","Adresa de e-mail"
"Invalid email address","Adresa de e-mail gresita"
"IP Address","Adresa IP"
"New Address","Adresa noua"
"New Customer Address","Adresa noua client"
"This email address was not found in our records","Adresa nu a fost gasita in baza noastra de date."
"Primary Billing Address","Adresa principala de facturare"
"Primary Shipping Address","Adresa principala de livrare"
"Default Shipping Address","Adresa standard de livrare"
"Addresses","Adrese"
"Customer Addresses","Adrese client"
"Default Addresses","Adrese standard"
"Default Billing Address","Adrese standard de facturare"
"Retrieve your password here","Afla parola aici"
"Address Book","Agenda"
"You're now Logged Out","Ai iesit din cont."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ai parasit contul si vei fi redirectionat spre pagina principala in 5 secunde."
"Forgot Your Password?","Ai uitat parola?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aici poti vedea si actualiza detaliile contului tau. Alege din link-urile de mai jos."
"Please select","Alege"
"Please select region, state or province","Alege judetul"
"Assign a customer group","Aloca un grup de clienti"
"Cancel","Anuleaza"
"Approved","Aprobat"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Login or Create an Account","Autentifica-te sau Creaza un cont"
"Login","Autentificare"
"Customer Login","Autentificare client"
"Qty","Cant."
"Tax class","Clasa de taxare"
"Tax Class","Clasa de taxare"
"Customer","Client"
"Customer Since","Client din"
"Registered Customers","Client existent"
"New Customers","Client nou"
"New Customer","Client nou"
"Customers","Clienti"
"Online Customers","Clienti online"
"Customer doesn't have primary billing address","Clientul nu are adresa principala de facturare"
"This customer has no saved addresses.","Clientul nu are adrese salvate."
"ZIP/Post Code","Cod postal"
"ZIP/Postal Code","Cod postal"
"Zip/Postal Code","Cod postal"
"SKU","Cod produs"
"Wrong region id by selected country","Codul este gresit pentru tara selectata"
"Order #","Comanda #"
"Order #%s (%s)","Comanda #%s (%s)"
"Orders","Comenzi"
"Recent Orders","Comenzi recente"
"My Orders","Comenzile mele"
"Config","Configuratie"
"Customer Configuration","Configuratie client"
"Confirm New Password","Confirma noua parola"
"Confirm Password","Confirma parola"
"New account","Cont nou"
"Continue Shopping","Continua cumparaturile"
"My Account","Contul meu"
"Shopping Cart - %d item(s)","Cos - %d articol(e)"
"Shopping Cart","Cos de cumparaturi"
"There are no items in customer's shopping cart at the moment","Cosul clientului este gol momentan"
"There are no items in customer's shopping cart at the moment","Cosul clientului este gol momentan"
"Create Order","Creaza comanda"
"Create an Account","Creaza un cont"
"Create New Customer Account","Creaza un cont nou"
"CSV","CSV"
"Bought From","Cumparat de la"
"Purchase On","Cumparat la"
"Purchased at","Cumparat la"
"If you have an account with us, please log in.","Daca esti deja inregistrat, te rugam sa te autentifici."
"Date","Data"
"Invalid customer data","Datele clientului sunt gresite"
"User description","Descriere utilizator"
"Details","Detalii"
"My Dashboard","Detalii cont"
"Unsubscribe from newsletter","Dezaboneaza-te de la newsletter"
"Disabled","Dezactiveaza"
"Customers Only","Doar clientii"
"Visitors Only","Doar vizitatori"
"Default Email Domain","Domeniu de mail standard"
"Email","E-mail"
"Error during retrieval of option value: %s","Eroare la gasirea valorii optiunii: %s"
"There was an error while deleting the address","Eroare la stergerea adresei."
"Can't save address","Eroare. Adresa nu poate fi salvata."
"Can't save customer","Eroare. Clientul nu poate fi salvat"
"Login and password are required","Este necesar userul si parola"
"You are currently subscribed to our newsletter.","Esti abonat la newsletter-ul nostru."
"You are currently subscribed to our newsletter","Esti abonat la newsletter-ul nostru."
"You are currently subscribed to 'General Subscription'.","Esti abonat la newsletter-ul principal."
"Are you sure you want to cancel adding of this address?","Esti sigur ca vrei sa anulezi adaugarea acestei adrese?"
"Are you sure you want to delete this address?","Esti sigur ca vrei sa stergi aceasta adresa?"
"Are you sure the you want to remove this item?","Esti sigur ca vrei sa stergi acest articol?"
"Are you sure that you want to remove this item?","Esti sigur ca vrei sa stergi acest articol?"
"Are you sure?","Esti sigur?"
"Product Tags","Etichete produs"
"My Tags","Etichetele mele"
"Customer email already exists","Exista deja adresa de email a clientului"
"Email Sender","Expeditor e-mail"
"Forgot Email Sender","Expeditor email pt uituci"
"Wishlist","Favorite"
"Wishlist - %d item(s)","Favorite - %d articol(e)"
"Fax","Fax"
"Newsletter Finish","Final newsletter"
"Company","Firma"
"Use as my default billing address","Foloseste ca adresa de facturare standard"
"Use as my default shipping address","Foloseste ca adresa de livrare standard"
"Use as My Primary %s Address","Foloseste ca adresa principala %s "
"Password Management","Gestionare parole"
"Manage Addresses","Gestioneaza adresele"
"Manage Customers","Gestioneaza clientii"
"Global","Global"
"Group","Grup"
"Customer Group","Grup clienti"
"New Customer Group","Grup clienti nou"
"Customer Group was successfully saved","Grup clienti salvat."
"Customer Group was successfully deleted","Grup clienti sters."
"New Group","Grup nou"
"Default Group","Grup standard"
"Group ""%s"" can not be deleted","Grupul ""%s"" nu poate fi sters"
"Customer Groups","Grupuri clienti"
"New Customer Groups","Grupuri clienti noi"
"HTML","HTML"
"ID","ID"
"Product ID","ID produs"
"Pending","in asteptare"
"Paused","In stand-by"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","In urma inregistrarii pe <b>Createur.ro</b>, vei putea cumpara mai repede, iti vei putea adauga adrese multiple in agenda, vei putea urmari starea comenzilor, vei putea vedea comenzile mai vechi si multe altele."
"Back","Inapoi"
"Back to Login","Inapoi la Login"
"You have placed no orders yet.","Inca nu ai facut nicio comanda."
"Newsletter Start","Inceput newsletter"
"Address Information","Informatii adresa"
"Login Information","Informatii autentificare"
"Customer Information","Informatii clienti"
"Account Information","Informatii cont"
"Contact Information","Informatii de contact"
"Billing Information","Informatii facturare"
"Group Information","Informatii grup"
"Shipping Information","Informatii livrare"
"Newsletter Information","Informatii newsletter"
"Personal Information","Informatii personale"
"Account information was successfully saved","Informatiile de cont au fost salvate."
"Records for ""","Inregistrari pentru """
"New Address Entry","Intrare noua la Adresa"
"Additional Address Entries","Intrari adrese suplimentare"
"Please enter your email.","Introdu adresa de e-mail."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Items Order"
"Thank you for registering with %s","Iti multumim pentru inregistrarea pe %s"
"State/Province","Judet"
"Customer collection expected","Lipseste colectia de date clienti"
"Entity collection is expected","Lipseste colectia de date entitate"
"Order List...","Lista comenzi..."
"There are no items in customer's wishlist at the moment","Lista de favorite a clientului este goala momentan"
"My Wishlist","Lista mea de favorite"
"Shipped to Last Name","Livrat la Nume"
"Shipped to Name","Livrat la Nume"
"Shipped to First Name","Livrat la Prenume"
"Ship to Last name","Livreaza la Nume"
"Ship to First name","Livreaza la Prenume"
"Log In","Log In"
"Log Out","Log Out"
"Store","Magazin"
"Go to Address Book","Mergi la Agenda"
"Payment Method","Metoda de plata"
"Shipping Method","Metoda livrare"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"Edit","Modifica"
"Edit Newsletter Subscription","Modifica abonarile la newsletter"
"Edit Address","Modifica adresa"
"Edit Customer's Address","Modifica adresa clientului"
"Edit Group","Modifica grup"
"Edit Customer Group ""%s""","Modifica grup clienti ""%s"""
"Edit Customer Groups","Modifica grupurile de clienti"
"Edit Account Information","Modifica informatiile contului"
"Edit Personal Information","Modifica informatiile personale"
"Edit Address Entry","Modifica intrarea in adresa"
"Edit Newsletters","Modifica newsletter-e"
"n/a","n/a"
"Need to Confirm","Necesita confirmare"
"Unknown","Necunoscut"
"Not Sent","Netrimis"
"Newsletters","Newsletter"
"Newsletter","Newsletter"
"Newsletter Received","Newsletter primit"
"No Items Found","Nici un articol gasit"
"No Newsletter Found","Nici un newsletter gasit"
"Never","Niciodata"
"No product collections found","No product collections found"
"A new password was sent","Noua parola a fost trimisa"
"You have placed no products yet.","Nu ai adaugat niciun produs inca."
"You have no additional address entries in your address book.","Nu ai alte adrese salvate in agenda."
"You have no additional entries in your address book.","Nu ai alte intrari in agenda."
"You have no primary entries in your address book.","Nu ai intrari principale in agenda."
"You have no default billing address in your address book.","Nu ai o adresa standard de facturare in agenda."
"You have no default shipping address in your address book.","Nu ai o adresa standard de livrare in agenda."
"You have not set a primary billing address.","Nu ai setat o adresa principala de facturare."
"You have not set a primary shipping address.","Nu ai setat o adresa principala de livrare."
"You are currently not subscribed to our newsletter","Nu esti abonat la newsletter."
"You are currently not subscribed to any newsletter.","Nu esti abonat la niciun newsletter."
"Can't share customer accounts global.","Nu se pot partaja conturile clientilor la nivel global."
"Name","Nume"
"Last Name","Nume"
"Tag Name","Nume eticheta"
"Group Name","Nume grup"
"Product name","Nume produs"
"Product Name","Nume produs"
"Offline","Offline"
"Online","Online"
"Create New Account Options","Optiuni creare cont nou"
"Password Options","Optiuni parole"
"Account Sharing Options","Optiuni partajare cont"
"or","or"
"City","Oras"
"Account Dashboard","Panou control"
"Product Reviews","Pareri produs"
"My Reviews","Parerile mele"
"Password","Parola"
"Current Password","Parola actuala"
"Invalid current password","Parola actuala e gresita"
"New passowrd","Parola noua"
"New Password","Parola noua"
"Invalid login or password","Parola sau user gresite"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Parola trebuie sa aiba minim 6 caractere. Spatiile vor fi ignorate."
"Please make sure your passwords match.","Parolele trebuie sa fie aceleasi."
"Share Customer Accounts","Partajeaza conturi clienti"
"Pasword fields can't be empty.","Pasword fields can't be empty."
"PDF","PDF"
"Per Website","Pe Website"
"First Name","Prenume"
"Price","Pret"
"Ext. Price","Pret ext."
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea datelor, se anuleaza operatiunea. Eroare: %s"
"Product","Produs"
"Hello, %s!","Salut, %s!"
"Saved ","Salvat "
"Save","Salveaza"
"Save Address","Salveaza adresa"
"Save Customer","Salveaza client"
"Save Customer Group","Salveaza grup clienti"
"Save Password","Salveaza parola"
"or","sau"
"Change Billing Address","Schimba adresa de facturare"
"Change Shipping Address","Schimba adresa de livrare"
"Change Password","Schimba parola"
"Change Account Password","Schimba parola contului tau"
"Sending","Se trimite"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Seteaza ca adresa standard de facturare"
"Set as Default Shipping Address","Seteaza ca adresa standard de livrare"
"Website","Site"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"To Cart","Spre cos"
"Sales Statistics","Statistici vanzari"
"Status","Status"
"Remove","Sterge"
"Delete","Sterge"
"Delete Address","Sterge adresa"
"Delete Customer","Sterge client"
"Delete Customer Group","Sterge grup clienti"
"Deleted Stores","Sterge magazine"
"Refunded","Stornat"
"Subject","Subiect"
"Amount","Suma"
"Country","Tara"
"Please enter your email below and we'll send you a new password.","Te rugam sa introduci adresa de e-mail si iti vom trimite o noua parola."
"Please enter your email below and we'll send you a new password.","Te rugam sa introduci adresa de e-mail si iti vom trimite o noua parola."
"Telephone","Telefon"
"Email Template","Template e-mail"
"Forgot Email Template","Template email pt uituci"
"Text","Text"
"Text One Line","Text One Line"
"Type","Tip"
"All","Toate"
"All countries","Toate tarile"
"All Store Views","Toate vitrinele magazinului"
"Total","Total"
"Order Total","Total comanda"
"Grand Total","Total final"
"Grand Total: %s","Total final: %s"
"Your account balance is: %s","Totalul contului: %s"
"Sent","Trimis"
"Submit","Trimite"
"Send welcome email","Trimite email de bun-venit"
"Send auto-generated password","Trimite parola auto-generata"
"Last Activity","Ultima activitate"
"Last date subscribed","Ultima data la care s-a abonat"
"Last date unsubscribed","Ultima data la care s-a dezabonat"
"Last 5 Orders","Ultimele 5 comenzi"
"Last Viewed Items","Ultimele vizualizari"
"Last Url","Ultimul Url"
"Average Sale","Vanzari medii"
"Lifetime Sales","Vanzari totale"
"View","Vezi"
"View Order","Vezi comanda"
"View Order List","Vezi lista comenzilor"
"Store View","Vitrina magazinului"
"Visible In","Vizibil in"
"Visitor","Vizitator"
"Guest","Vizitator"
"Customer View","Vizualizare client"
"XML","XML"
"Days in Wishlist","Zile la Favorite"
"ZIP","ZIP"
